epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,77.8212,0.95348,3.55251,1.14374,0.23201,0.55,0.51529,0.33825,1.8125,2.4723,1.18216,1.11965e-05,1.11965e-05,1.11965e-05
40,78.6005,1.71164,3.02119,1.56922,0.23187,0.55,0.51533,0.33818,1.81783,2.48474,1.18286,1.05722e-05,1.05722e-05,1.05722e-05
41,103.704,1.14048,1.31089,1.17975,0.22877,0.55,0.51526,0.33816,1.8358,2.49241,1.19364,9.9008e-06,9.9008e-06,9.9008e-06
42,104.438,1.11016,1.58187,1.22893,0.22841,0.55,0.51529,0.33813,1.85287,2.52612,1.20067,9.18228e-06,9.18228e-06,9.18228e-06
43,105.138,1.00958,1.07105,1.0939,0.22877,0.55,0.51537,0.3382,1.83284,2.47142,1.19667,8.41663e-06,8.41663e-06,8.41663e-06
44,105.921,0.98717,1.37755,1.18858,0.74471,0.48106,0.51537,0.36027,1.83897,2.48195,1.20248,7.60386e-06,7.60386e-06,7.60386e-06
45,106.715,1.04563,1.71684,1.10501,0.74875,0.47945,0.51542,0.36018,1.83817,2.47772,1.20443,6.74397e-06,6.74397e-06,6.74397e-06
46,107.489,1.05309,1.68069,1.23535,0.75509,0.47911,0.51533,0.36023,1.86689,2.50057,1.2169,5.83695e-06,5.83695e-06,5.83695e-06
47,108.216,1.04564,1.2045,1.14843,0.75617,0.47815,0.51529,0.36022,1.86879,2.51739,1.21825,4.88281e-06,4.88281e-06,4.88281e-06
48,108.953,0.90753,0.96242,1.0694,0.75107,0.47777,0.51526,0.34362,1.88511,2.53607,1.22707,3.88154e-06,3.88154e-06,3.88154e-06
49,109.673,1.03642,1.88611,1.28532,0.7625,0.47618,0.51725,0.35282,1.8842,2.55692,1.22656,2.83315e-06,2.83315e-06,2.83315e-06
50,110.465,1.06,1.37586,1.14488,0.74166,0.47947,0.51529,0.33604,1.87026,2.56007,1.2318,1.73764e-06,1.73764e-06,1.73764e-06
