epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,26.9932,1.10297,4.10244,1.39136,0.58136,0.4957,0.51399,0.33949,1.90484,2.60884,1.24377,1.11965e-05,1.11965e-05,1.11965e-05
40,27.5439,1.69349,3.53896,1.80728,0.57371,0.49963,0.51401,0.33944,1.90582,2.60422,1.23898,1.05722e-05,1.05722e-05,1.05722e-05
41,28.1981,1.07363,1.70225,1.18605,0.57803,0.49761,0.51404,0.33945,1.8998,2.59727,1.24255,9.9008e-06,9.9008e-06,9.9008e-06
42,31.4142,0.96286,1.65369,1.20285,0.58188,0.49727,0.51409,0.33796,1.86618,2.54193,1.23391,9.18228e-06,9.18228e-06,9.18228e-06
43,32.9536,1.06969,1.8186,1.22992,0.58598,0.49617,0.51407,0.33795,1.87839,2.5709,1.23959,8.41663e-06,8.41663e-06,8.41663e-06
44,33.8566,0.94725,1.37412,1.14986,0.58389,0.4966,0.51406,0.33953,1.90276,2.5856,1.24837,7.60386e-06,7.60386e-06,7.60386e-06
45,34.6441,1.08601,1.43797,1.20741,0.57808,0.49902,0.51407,0.33954,1.91705,2.59344,1.25926,6.74397e-06,6.74397e-06,6.74397e-06
46,35.3379,1.04607,1.69235,1.22997,0.5746,0.50028,0.515,0.33991,1.95068,2.65805,1.26989,5.83695e-06,5.83695e-06,5.83695e-06
47,36.0399,0.94669,1.59632,1.12793,0.57784,0.4984,0.51506,0.33993,1.95053,2.66545,1.27298,4.88281e-06,4.88281e-06,4.88281e-06
48,36.687,0.82398,1.10351,1.02422,0.5774,0.49892,0.51515,0.34409,1.93662,2.64048,1.27267,3.88154e-06,3.88154e-06,3.88154e-06
49,37.3268,1.01294,1.19875,1.06131,0.5757,0.4986,0.51515,0.34409,1.91911,2.62124,1.2666,2.83315e-06,2.83315e-06,2.83315e-06
50,37.9687,1.03834,1.62229,1.23488,0.57952,0.49689,0.51512,0.34418,1.92836,2.65359,1.2713,1.73764e-06,1.73764e-06,1.73764e-06
