epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,249.744,0.91852,0.78279,1.07076,0.9226,0.85561,0.91882,0.77195,0.67242,0.46402,0.89388,7.82976e-05,7.82976e-05,7.82976e-05
42,255.622,0.8077,0.6968,1.02261,0.92173,0.85811,0.91819,0.77486,0.6677,0.45837,0.89084,7.6529e-05,7.6529e-05,7.6529e-05
43,261.452,0.86348,0.79776,1.06905,0.91399,0.86197,0.91986,0.78144,0.65998,0.45156,0.88761,7.47441e-05,7.47441e-05,7.47441e-05
44,267.489,0.87321,0.76138,1.06076,0.91443,0.8618,0.92088,0.78355,0.65439,0.44883,0.88527,7.29447e-05,7.29447e-05,7.29447e-05
45,273.591,0.85574,0.73856,1.06219,0.91508,0.86126,0.92109,0.78607,0.64762,0.44496,0.88243,7.11327e-05,7.11327e-05,7.11327e-05
46,279.527,0.84927,0.72493,1.04629,0.90861,0.86446,0.92199,0.78287,0.64865,0.44308,0.88225,6.93098e-05,6.93098e-05,6.93098e-05
47,285.341,0.84183,0.75364,1.0626,0.91829,0.85429,0.92013,0.78246,0.64419,0.44244,0.88108,6.74778e-05,6.74778e-05,6.74778e-05
48,291.208,0.82348,0.67081,1.01779,0.91542,0.86411,0.9223,0.78468,0.64176,0.43815,0.88078,6.56385e-05,6.56385e-05,6.56385e-05
49,297.097,0.8589,0.73477,1.04417,0.92175,0.8629,0.92507,0.78901,0.63649,0.43545,0.8799,6.37937e-05,6.37937e-05,6.37937e-05
50,303.01,0.79156,0.7061,1.04322,0.92906,0.86279,0.92658,0.78796,0.63563,0.4361,0.87936,6.19453e-05,6.19453e-05,6.19453e-05
51,308.609,0.86119,0.77522,1.08631,0.93495,0.86737,0.9258,0.79109,0.63407,0.43362,0.87827,6.0095e-05,6.0095e-05,6.0095e-05
52,314.526,0.86019,0.80694,1.09841,0.92452,0.86696,0.92544,0.79342,0.63321,0.43205,0.87737,5.82447e-05,5.82447e-05,5.82447e-05
53,320.305,0.85509,0.77216,1.0616,0.92161,0.87253,0.92744,0.79793,0.62977,0.42956,0.87673,5.63963e-05,5.63963e-05,5.63963e-05
54,326.096,0.9073,0.81172,1.08875,0.92181,0.87436,0.92773,0.8013,0.62834,0.42735,0.87632,5.45515e-05,5.45515e-05,5.45515e-05
55,331.991,0.90331,0.79892,1.05204,0.92461,0.87483,0.92918,0.80116,0.62558,0.42678,0.87514,5.27122e-05,5.27122e-05,5.27122e-05
56,337.681,0.83928,0.72718,1.04563,0.92397,0.87353,0.92976,0.80185,0.62533,0.42859,0.87517,5.08802e-05,5.08802e-05,5.08802e-05
57,343.511,0.89081,0.80005,1.06667,0.92528,0.87387,0.93057,0.79774,0.62466,0.42595,0.87421,4.90573e-05,4.90573e-05,4.90573e-05
58,349.204,0.81899,0.70546,1.02543,0.91656,0.87779,0.92877,0.80109,0.62645,0.42618,0.87461,4.72453e-05,4.72453e-05,4.72453e-05
59,354.869,0.83329,0.71905,1.03173,0.91873,0.87976,0.93134,0.79937,0.62353,0.42449,0.87303,4.54459e-05,4.54459e-05,4.54459e-05
60,360.542,0.8553,0.74535,1.05026,0.91499,0.88023,0.93077,0.79973,0.62223,0.42112,0.87121,4.3661e-05,4.3661e-05,4.3661e-05
61,366.217,0.84827,0.75754,1.04702,0.92499,0.87164,0.93051,0.79959,0.61976,0.41909,0.8702,4.18924e-05,4.18924e-05,4.18924e-05
62,371.994,0.82773,0.75205,1.07101,0.91613,0.87676,0.9308,0.80113,0.61824,0.41766,0.86955,4.01416e-05,4.01416e-05,4.01416e-05
